12/31/15;1/31/16;2/29/16;3/31/16;4/30/16;5/31/16;6/30/16;7/31/16;8/31/16;9/30/16;10/31/16;11/30/16;12/31/16;1/31/17;2/28/17;3/31/17;4/30/17;5/31/17;6/30/17;7/31/17;8/31/17;9/30/17;10/31/17;11/30/17;12/31/17;1/31/18;2/28/18;3/31/18;4/30/18;5/31/18;6/30/18;7/31/18;8/31/18;9/30/18;10/31/18;11/30/18;12/31/18;1/31/19;2/28/19;3/31/19;4/30/19;5/31/19;6/30/19;7/31/19;8/31/19;9/30/19;10/31/19;11/30/19;12/31/19;1/31/20;2/29/20;3/31/20;4/30/20;5/31/20;6/30/20;7/31/20;8/31/20;9/30/20;10/31/20;11/30/20;12/31/20;1/31/21;2/28/21;3/31/21;4/30/21;5/31/21;6/30/21;7/31/21;8/31/21;9/30/21;10/31/21;11/30/21;12/31/21;1/31/22;2/28/22;3/31/22;4/30/22;5/31/22;6/30/22;7/31/22;8/31/22
PETR4;RAIL3;QUAL3;ENBR3;YDUQ3;YDUQ3;QUAL3;SUZB3;SUZB3;CPLE6;CPLE6;GOAU4;BRAP4;NTCO3;QUAL3;QUAL3;MRVE3;ELET6;ELET6;MRVE3;ELET3;ELET6;CSNA3;USIM5;USIM5;MGLU3;MULT3;QUAL3;CSNA3;CSNA3;CSNA3;NTCO3;GOAU4;AMER3;CSNA3;MULT3;FLRY3;MULT3;MULT3;CSAN3;FLRY3;CSAN3;BRAP4;MULT3;CSAN3;CIEL3;CIEL3;CIEL3;CIEL3;ELET3;CSAN3;EMBR3;TOTS3;TOTS3;TOTS3;IRBR3;CSNA3;IRBR3;CSAN3;CSAN3;IRBR3;ELET3;TIMS3;BRKM5;USIM5;AMER3;SBSP3;ENGI11;ENGI11;VIIA3;VIIA3;TIMS3;ASAI3;TIMS3;ASAI3;TIMS3;EMBR3;ELET6;TAEE11;TAEE11;MGLU3
QUAL3;SANB11;AURE3;AURE3;ENBR3;MRVE3;CPLE6;MRVE3;CPLE6;ENBR3;ENBR3;BRAP4;ENBR3;QUAL3;NTCO3;MRVE3;BRAP4;MRVE3;MRVE3;ELET6;GOLL4;ENBR3;GOLL4;CSNA3;GOLL4;ELET3;MGLU3;NTCO3;ELET6;USIM5;AMER3;AMER3;QUAL3;GOAU4;NTCO3;CSNA3;CSNA3;CSNA3;BRAP4;MULT3;MULT3;BRAP4;MULT3;CVCB3;BRKM5;BRKM5;VIIA3;FLRY3;FLRY3;CSAN3;ELET3;QUAL3;CRFB3;BRKM5;BRML3;BRAP4;IRBR3;QUAL3;COGN3;QUAL3;QUAL3;YDUQ3;EGIE3;EGIE3;ENGI11;ENGI11;LWSA3;LWSA3;LWSA3;AZUL4;EGIE3;ASAI3;CPLE6;EGIE3;EGIE3;EGIE3;TAEE11;RRRP3;AMER3;EMBR3;TAEE11
RADL3;SBSP3;CPLE6;CPLE6;CPLE6;CPLE6;MRVE3;CPLE6;MRVE3;MRVE3;MRVE3;ENBR3;MRVE3;MRVE3;MRVE3;GOLL4;GOLL4;GOLL4;GOLL4;GOLL4;MRVE3;GOLL4;USIM5;GOLL4;MRVE3;ELET6;NTCO3;CSNA3;ELET3;AMER3;ENBR3;USIM5;ELET3;TAEE11;USIM5;CSAN3;TAEE11;BRAP4;FLRY3;FLRY3;AMER3;MULT3;CSAN3;FLRY3;FLRY3;CSNA3;MULT3;CSNA3;CSNA3;QUAL3;TOTS3;BRAP4;QUAL3;IRBR3;BRAP4;ELET6;ELET6;CSAN3;FLRY3;YDUQ3;YDUQ3;CSAN3;SULA11;EMBR3;EMBR3;LWSA3;ENGI11;USIM5;TIMS3;CPLE6;ENGI11;EGIE3;EGIE3;ASAI3;SULA11;SULA11;ELET6;EMBR3;LCAM3;MGLU3;AMER3
RAIL3;GOLL4;MRFG3;CYRE3;AURE3;CYRE3;GOLL4;GOLL4;GOLL4;GOLL4;GOLL4;MRVE3;GOAU4;GOAU4;GOLL4;ENBR3;CYRE3;ELET3;ENBR3;ELET3;ENBR3;TAEE11;ENBR3;ENBR3;ENBR3;GOLL4;GOLL4;MRVE3;GOAU4;GOAU4;USIM5;GOAU4;AMER3;USIM5;CSAN3;TAEE11;CSAN3;TAEE11;ENBR3;TAEE11;TAEE11;FLRY3;FLRY3;BRAP4;MULT3;CSAN3;FLRY3;QUAL3;MULT3;TOTS3;QUAL3;TOTS3;FLRY3;BRAP4;QUAL3;CRFB3;QUAL3;YDUQ3;IRBR3;COGN3;CSAN3;PRIO3;YDUQ3;SULA11;EGIE3;ELET6;ELET6;ELET6;EGIE3;ENGI11;CPLE6;CPLE6;VIIA3;AZUL4;TAEE11;TAEE11;BIDI11;TAEE11;RRRP3;CRFB3;CRFB3
RENT3;SUZB3;CYRE3;MRFG3;CYRE3;GOLL4;CYRE3;CYRE3;CYRE3;CYRE3;BRAP4;CPLE6;CPLE6;ENBR3;CPLE6;CYRE3;ENBR3;ENBR3;ELET3;ENBR3;GOAU4;USIM5;TAEE11;TAEE11;TAEE11;MRVE3;GOAU4;VVAR11;MRVE3;MRVE3;GOAU4;ELET3;ELET6;ELET6;TAEE11;USIM5;USIM5;USIM5;TAEE11;ENBR3;ENBR3;ENBR3;TAEE11;CYRE3;QUAL3;CVCB3;CSNA3;ELET6;ELET6;FLRY3;FLRY3;FLRY3;BRAP4;ELET6;ELET6;BRML3;YDUQ3;FLRY3;ELET6;BRML3;PRIO3;IRBR3;EMBR3;TIMS3;GOAU4;EGIE3;EGIE3;GOAU4;USIM5;EGIE3;TIMS3;VIIA3;MRFG3;ELET6;AZUL4;CRFB3;RRRP3;GOAU4;MGLU3;GOAU4;SULA11
SANB11;EGIE3;HGTX3;GOLL4;GOLL4;MRFG3;AURE3;AURE3;AURE3;BRAP4;GOAU4;GOLL4;GOLL4;CPLE6;GOAU4;CPLE6;CPLE6;CPLE6;GOAU4;GOAU4;CYRE3;MRVE3;MRVE3;MRVE3;GOAU4;ENBR3;MRVE3;GOAU4;GOLL4;ELET3;TAEE11;ELET6;USIM5;ELET3;GOAU4;ENBR3;ENBR3;ENBR3;USIM5;USIM5;USIM5;TAEE11;ENBR3;AMER3;CYRE3;FLRY3;CVCB3;MULT3;BRAP4;MULT3;MULT3;VIIA3;EMBR3;FLRY3;CRFB3;CSNA3;BRML3;CRFB3;AZUL4;IRBR3;ELET6;QUAL3;QUAL3;GOAU4;SULA11;GOAU4;SULA11;EGIE3;ELET6;TIMS3;GOAU4;MRFG3;ELET6;LCAM3;LCAM3;ELET6;CRFB3;LCAM3;GOAU4;MULT3;GOAU4
SBSP3;TIMS3;GOLL4;HGTX3;MRFG3;AURE3;MRFG3;BRAP4;BRAP4;GOAU4;CYRE3;MRFG3;CYRE3;CYRE3;CYRE3;GOAU4;GOAU4;CYRE3;MRFG3;CYRE3;USIM5;CYRE3;CYRE3;CYRE3;CYRE3;GOAU4;ENBR3;GOLL4;ENBR3;ENBR3;MRVE3;ENBR3;ENBR3;QUAL3;ENBR3;GOAU4;GOAU4;CYRE3;CYRE3;CYRE3;CYRE3;AMER3;MRVE3;TAEE11;BRAP4;MULT3;BRKM5;BRAP4;QUAL3;ELET6;ELET6;AZUL4;ELET6;CRFB3;FLRY3;QUAL3;FLRY3;AZUL4;CRFB3;FLRY3;COGN3;LCAM3;USIM5;CPLE6;TIMS3;USIM5;YDUQ3;LCAM3;GOAU4;ELET6;MRFG3;TAEE11;TAEE11;TAEE11;ELET6;LCAM3;GOAU4;CRFB3;CRFB3;BRML3;BRML3
SUZB3;UGPA3;ECOR3;GOAU4;BRAP4;ECOR3;BRAP4;MRFG3;GOAU4;MRFG3;USIM5;CYRE3;MRFG3;GOLL4;ENBR3;USIM5;MRFG3;GOAU4;CYRE3;CPLE6;CPLE6;GOAU4;GOAU4;GOAU4;MRFG3;SAPR11;TAEE11;SAPR11;VVAR11;ELET6;MRFG3;MRVE3;MRVE3;ENBR3;MRVE3;CYRE3;CYRE3;GOAU4;GOAU4;MRVE3;MRVE3;MRVE3;AMER3;MRVE3;TAEE11;BRAP4;QUAL3;BRKM5;BRKM5;CRFB3;CYRE3;ELET6;TAEE11;QUAL3;CSNA3;FLRY3;CRFB3;ELET6;YDUQ3;ELET6;BRML3;CPLE6;BRKM5;CRFB3;YDUQ3;YDUQ3;USIM5;TIMS3;SULA11;LWSA3;ELET6;ELET6;GOAU4;USIM5;BRML3;GOAU4;SULA11;SULA11;BRAP4;SULA11;MULT3
TIMS3;USIM5;BRAP4;BRAP4;HGTX3;BRAP4;ECOR3;USIM5;MRFG3;USIM5;MRFG3;USIM5;USIM5;USIM5;USIM5;MRFG3;USIM5;MRFG3;CPLE6;MRFG3;MRFG3;CPLE6;CPLE6;MRFG3;CPLE6;VVAR11;CYRE3;TAEE11;SAPR11;TAEE11;ELET3;TAEE11;TAEE11;MRVE3;CYRE3;MRVE3;MRVE3;MRVE3;MRVE3;GOAU4;QUAL3;QUAL3;QUAL3;ENBR3;MRVE3;QUAL3;BRAP4;CYRE3;CYRE3;CSNA3;CRFB3;MULT3;MULT3;TAEE11;AZUL4;CYRE3;MRFG3;BRML3;BRML3;CYRE3;FLRY3;COGN3;ELET6;QUAL3;TAEE11;SULA11;GOAU4;YDUQ3;TAEE11;ALPA4;LWSA3;AZUL4;AZUL4;GOAU4;MRFG3;RRRP3;LCAM3;BIDI11;BRML3;RRRP3;RRRP3
UGPA3;VALE3;OIBR3;ECOR3;GOAU4;GOAU4;GOAU4;GOAU4;USIM5;ECOR3;ECOR3;ECOR3;ECOR3;MRFG3;MRFG3;ECOR3;ECOR3;USIM5;USIM5;USIM5;ECOR3;MRFG3;MRFG3;CPLE6;ECOR3;TAEE11;VVAR11;ENBR3;TAEE11;SAPR11;ELET6;MRFG3;GOLL4;CYRE3;QUAL3;JPSA3;JPSA3;JPSA3;QUAL3;QUAL3;GOAU4;CYRE3;CYRE3;GOLL4;ENBR3;CYRE3;CYRE3;TAEE11;TAEE11;CYRE3;BRAP4;TAEE11;BRKM5;CSNA3;CYRE3;AZUL4;AZUL4;CYRE3;GOAU4;CRFB3;CYRE3;BRML3;FLRY3;USIM5;ELET6;TIMS3;TIMS3;BRML3;LCAM3;MRFG3;AZUL4;LCAM3;USIM5;CMIN3;CRFB3;BRAP4;BRML3;BRAP4;SULA11;CPFE3;CPFE3
USIM5;VALE5;GOAU4;USIM5;ECOR3;USIM5;USIM5;ECOR3;ECOR3;;;;;ECOR3;ECOR3;;;ECOR3;ECOR3;ECOR3;;ECOR3;ECOR3;ECOR3;CPFE3;JPSA3;SAPR11;CYRE3;CYRE3;GOLL4;SAPR11;GOLL4;SAPR11;GOLL4;JPSA3;QUAL3;GOLL4;QUAL3;JPSA3;GOLL4;JPSA3;USIM5;USIM5;QUAL3;GOLL4;TAEE11;TAEE11;CVCB3;CVCB3;BRKM5;CSNA3;CIEL3;CSNA3;MULT3;TAEE11;TAEE11;CYRE3;GOAU4;CYRE3;TAEE11;GOAU4;FLRY3;GOAU4;BRML3;CRFB3;BRML3;LCAM3;SULA11;YDUQ3;GOAU4;TAEE11;GOAU4;LCAM3;BRML3;USIM5;AZUL4;BRAP4;BRML3;MULT3;BRAP4;CIEL3
VALE3;VIVT3;RAIL3;OIBR3;USIM5;;;;;;;;;;;;;;;;;;;;;CYRE3;JPSA3;JPSA3;MRFG3;MRFG3;GOLL4;SAPR11;JPSA3;JPSA3;CPLE6;CPLE6;QUAL3;GOLL4;GOLL4;JPSA3;GOLL4;GOAU4;GOLL4;USIM5;JPSA3;ENBR3;ENBR3;ENBR3;ENBR3;BRAP4;CIEL3;ENBR3;AZUL4;CPFE3;EMBR3;BRKM5;TAEE11;TAEE11;TAEE11;GOAU4;USIM5;CRFB3;LCAM3;TAEE11;LCAM3;CRFB3;BRML3;TAEE11;MRFG3;USIM5;USIM5;SULA11;SULA11;MRFG3;BRAP4;BRML3;AZUL4;AZUL4;CPFE3;SOMA3;SOMA3
VALE5;WEGE3;USIM5;RAIL3;OIBR3;;;;;;;;;;;;;;;;;;;;;MRFG3;CPLE6;CPLE6;JPSA3;VVAR11;JPSA3;VVAR11;CYRE3;VVAR11;MRFG3;GOLL4;CPLE6;GOLL4;GOLL4;GOLL4;MRFG3;GOLL4;GOAU4;JPSA3;USIM5;MRVE3;MRVE3;MRVE3;MRVE3;CIEL3;BRKM5;BRKM5;MRFG3;MRFG3;BRKM5;MRFG3;GOAU4;MRFG3;BRKM5;USIM5;CRFB3;GOAU4;CRFB3;YDUQ3;BRML3;LCAM3;COGN3;ASAI3;BRML3;TAEE11;SULA11;USIM5;BRML3;RRRP3;GOAU4;MRFG3;CPFE3;MULT3;ENBR3;ENBR3;BRAP4
VIVT3;;;;;;;;;;;;;;;;;;;;;;;;;CPLE6;MRFG3;MRFG3;CPLE6;CYRE3;VVAR11;JPSA3;VVAR11;MRFG3;GOLL4;MRFG3;GOLL4;MRFG3;ECOR3;MRFG3;GOLL4;JPSA3;JPSA3;GOAU4;VIIA3;GOLL4;GOLL4;GOAU4;GOAU4;TAEE11;TAEE11;CSNA3;ENBR3;ENBR3;MULT3;EMBR3;MULT3;MULT3;USIM5;PRIO3;TAEE11;CYRE3;CPLE6;ELET6;CPLE6;TAEE11;CRFB3;CRFB3;ASAI3;LCAM3;ALPA4;BRML3;BRAP4;SULA11;CMIN3;SOMA3;MRFG3;CPFE3;USIM5;CIEL3;ENBR3
YDUQ3;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;ECOR3;ECOR3;ECOR3;JPSA3;CYRE3;CYRE3;MRFG3;CPLE6;VVAR11;GOLL4;MRFG3;VIIA3;MRFG3;ECOR3;ECOR3;GOLL4;MRFG3;VIIA3;GOAU4;MRFG3;MRFG3;GOLL4;GOLL4;GOAU4;ENBR3;CYRE3;CIEL3;EMBR3;MRFG3;MULT3;BRKM5;BRKM5;CPFE3;MULT3;MULT3;ELET6;IRBR3;LCAM3;FLRY3;QUAL3;QUAL3;QUAL3;CRFB3;YDUQ3;CRFB3;ALPA4;CRFB3;VIIA3;YDUQ3;USIM5;MULT3;USIM5;CMIN3;FLRY3;FLRY3
;;;;;;;;;;;;;;;;;;;;;;;;;CPFE3;CPFE3;CPFE3;CPFE3;CPLE6;CPLE6;CPLE6;CPLE6;GOLL4;GOLL4;VIIA3;ECOR3;ECOR3;VIIA3;VIIA3;VIIA3;MRFG3;VIIA3;MRFG3;MRFG3;USIM5;JPSA3;USIM5;USIM5;ENBR3;MRVE3;MRFG3;MRVE3;CYRE3;MRVE3;MRVE3;EMBR3;CPFE3;MULT3;BRKM5;EMBR3;USIM5;BRML3;FLRY3;IRBR3;FLRY3;TAEE11;MRFG3;FLRY3;SULA11;LCAM3;CRFB3;YDUQ3;SOMA3;SOMA3;CMIN3;SOMA3;SOMA3;SOMA3;USIM5;YDUQ3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOLL4;ECOR3;GOLL4;GOLL4;ECOR3;ECOR3;ECOR3;VIIA3;LOGG3;LOGG3;LOGG3;LOGG3;VIIA3;GOLL4;ECOR3;ECOR3;JPSA3;GOAU4;MRFG3;JPSA3;MRVE3;GOAU4;MRVE3;CYRE3;AZUL4;CPFE3;ENBR3;MRVE3;ENBR3;MRVE3;EMBR3;BRKM5;TAEE11;COGN3;IRBR3;QUAL3;COGN3;FLRY3;FLRY3;IRBR3;SOMA3;YDUQ3;LWSA3;ALPA4;BRAP4;RRRP3;MULT3;USIM5;SLCE3;SLCE3;MRFG3;COGN3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;GOLL4;ECOR3;ECOR3;;;;LOGG3;;;;;ECOR3;ECOR3;GOLL4;GOLL4;GOAU4;USIM5;JPSA3;MRFG3;CVCB3;MRFG3;JPSA3;GOAU4;MRVE3;CIEL3;CIEL3;CIEL3;USIM5;MRFG3;MRVE3;CPFE3;EMBR3;CYRE3;COGN3;COGN3;ASAI3;ASAI3;IRBR3;QUAL3;CRFB3;IRBR3;YDUQ3;LWSA3;CRFB3;VIIA3;VIIA3;CMIN3;CMIN3;MRFG3;ALPA4;AZUL4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CPFE3;CPFE3;CPFE3;CPFE3;;;;;;;;;;;;;ECOR3;ECOR3;ECOR3;ECOR3;USIM5;JPSA3;GOAU4;JPSA3;CIEL3;ENBR3;CPFE3;ENBR3;MRVE3;ENBR3;CPFE3;ENBR3;BRKM5;TAEE11;CYRE3;MRFG3;IRBR3;IRBR3;COGN3;COGN3;BRML3;BRML3;SOMA3;FLRY3;YDUQ3;MULT3;YDUQ3;ENBR3;MRFG3;CIEL3;SLCE3;VIIA3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOLL4;GOLL4;GOLL4;GOLL4;GOLL4;USIM5;USIM5;USIM5;GOAU4;GOAU4;GOAU4;USIM5;PRIO3;EMBR3;ENBR3;MRVE3;MULT3;CPFE3;MULT3;CYRE3;MRFG3;MRFG3;AMER3;CYRE3;FLRY3;SOMA3;FLRY3;SOMA3;FLRY3;CPFE3;CPFE3;YDUQ3;VIIA3;FLRY3;COGN3;USIM5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JPSA3;CVCB3;HGTX3;CVCB3;BEEF3;USIM5;USIM5;CPFE3;EMBR3;PRIO3;MRFG3;MRFG3;CPFE3;MULT3;MRFG3;MULT3;CYRE3;CYRE3;CYRE3;CPFE3;PETZ3;FLRY3;MULT3;MULT3;MULT3;FLRY3;ALPA4;VIIA3;ENBR3;AZUL4;YDUQ3;MRFG3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MRFG3;GOLL4;CVCB3;HGTX3;USIM5;BEEF3;CVCB3;BEEF3;CIEL3;CIEL3;CIEL3;CIEL3;MRVE3;MRFG3;CPFE3;PCAR3;MULT3;CVCB3;MULT3;MULT3;IRBR3;MULT3;IRBR3;AMER3;CPFE3;PETZ3;PETZ3;PETZ3;YDUQ3;YDUQ3;VIIA3;CMIN3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HGTX3;HGTX3;ECOR3;ECOR3;JPSA3;JPSA3;BEEF3;CVCB3;EZTC3;EZTC3;EZTC3;EZTC3;ENBR3;MRVE3;MRVE3;CPFE3;PCAR3;PCAR3;CVCB3;AMER3;QUAL3;QUAL3;DXCO3;CPFE3;PETZ3;ENBR3;ENBR3;COGN3;COGN3;ALPA4;CMIN3;CYRE3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;ECOR3;GOLL4;GOLL4;ECOR3;CVCB3;JPSA3;JPSA3;BEEF3;BEEF3;JPSA3;GOLL4;MRFG3;ENBR3;PCAR3;MRVE3;CPFE3;MULT3;PCAR3;CVCB3;BPAN4;PETZ3;ENBR3;IRBR3;ENBR3;LWSA3;COGN3;FLRY3;FLRY3;COGN3;AZUL4;SLCE3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOLL4;GOLL4;GOLL4;GOLL4;CVCB3;GOLL4;GOLL4;GOLL4;JPSA3;JPSA3;GOLL4;JPSA3;CIEL3;CIEL3;ENBR3;ENBR3;MRVE3;CPFE3;CPFE3;HGTX3;MULT3;CPFE3;CPFE3;PETZ3;QUAL3;CYRE3;CYRE3;ALPA4;CIEL3;BEEF3;CYRE3;ALPA4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HGTX3;ECOR3;ECOR3;HGTX3;CVCB3;GOLL4;CVCB3;CVCB3;EZTC3;GOLL4;CIEL3;CVCB3;CVCB3;MRVE3;HGTX3;PCAR3;CPFE3;BPAN4;AMER3;ENBR3;CYRE3;COGN3;FLRY3;CIEL3;ALPA4;PETZ3;IGTI11;IGTI11
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOLL4;HGTX3;HGTX3;ECOR3;GOLL4;HGTX3;BEEF3;BEEF3;GOLL4;EZTC3;CVCB3;CIEL3;CIEL3;HGTX3;MRVE3;ENBR3;COGN3;COGN3;PETZ3;QUAL3;ALPA4;ALPA4;LWSA3;CYRE3;PETZ3;CYRE3;BEEF3;LWSA3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HGTX3;CVCB3;HGTX3;ECOR3;CVCB3;CVCB3;JPSA3;HGTX3;ENBR3;GOLL4;ENBR3;MRVE3;CVCB3;ENBR3;QUAL3;DXCO3;COGN3;DXCO3;QUAL3;QUAL3;CYRE3;VIIA3;PETZ3;PETZ3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;ECOR3;ECOR3;HGTX3;JPSA3;JPSA3;EZTC3;GOLL4;HGTX3;ENBR3;GOLL4;CPLE6;CYRE3;DXCO3;COGN3;COGN3;DXCO3;IRBR3;IRBR3;DXCO3;BEEF3;IGTI11;LWSA3;MRVE3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEEF3;BEEF3;GOLL4;JPSA3;JPSA3;CIEL3;ECOR3;GOLL4;DXCO3;AMER3;BPAN4;CYRE3;IRBR3;QUAL3;DXCO3;IGTI11;IGTI11;QUAL3;DXCO3;BEEF3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HGTX3;HGTX3;BEEF3;EZTC3;GOLL4;CPLE6;CIEL3;ECOR3;ENBR3;CYRE3;CYRE3;BPAN4;LWSA3;PCAR3;PCAR3;IRBR3;IRBR3;DXCO3;QUAL3;DXCO3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;ECOR3;HGTX3;BEEF3;CPLE6;JPSA3;JPSA3;CIEL3;AMER3;PCAR3;PCAR3;MRVE3;MRVE3;MRVE3;MRVE3;BPAN4;DXCO3;IRBR3;MRVE3;QUAL3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JHSF3;JHSF3;JHSF3;ECOR3;EZTC3;EZTC3;CPLE6;JPSA3;PCAR3;CVCB3;MRVE3;PCAR3;BPAN4;BPAN4;BPAN4;PCAR3;PCAR3;PCAR3;PCAR3;IRBR3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;JHSF3;BEEF3;BEEF3;EZTC3;EZTC3;MRVE3;MRVE3;CVCB3;CVCB3;PCAR3;IGTI11;CVCB3;LWSA3;QUAL3;LWSA3;IRBR3;PCAR3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JHSF3;JHSF3;BEEF3;BEEF3;GOLL4;ECOR3;ECOR3;GOLL4;IGTI11;CIEL3;IGTI11;BEEF3;MRVE3;MRVE3;BPAN4;BPAN4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;ECOR3;JHSF3;JHSF3;CASH3;GOLL4;IGTI11;BEEF3;CVCB3;GOLL4;CIEL3;MRVE3;LWSA3;BPAN4;CVCB3;ECOR3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ECOR3;JPSA3;GOLL4;IGTI11;GOLL4;CVCB3;BEEF3;CVCB3;BPAN4;ECOR3;ECOR3;JHSF3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BIDI4;CIEL3;CIEL3;CIEL3;ECOR3;BEEF3;GOLL4;GOLL4;CVCB3;JHSF3;JHSF3;CVCB3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CIEL3;BIDI4;BIDI4;ECOR3;CIEL3;ECOR3;ECOR3;ECOR3;ECOR3;CVCB3;EZTC3;EZTC3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JPSA3;BEEF3;BEEF3;EZTC3;BEEF3;EZTC3;JHSF3;JHSF3;GOLL4;GOLL4;GOLL4;GOLL4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEEF3;CASH3;EZTC3;BIDI4;EZTC3;JHSF3;EZTC3;EZTC3;JHSF3;EZTC3;CASH3;CASH3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EZTC3;EZTC3;CASH3;JHSF3;JHSF3;CASH3;CASH3;CASH3;EZTC3;CASH3;POSI3;POSI3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JHSF3;JHSF3;JHSF3;CASH3;CASH3;POSI3;POSI3;POSI3;CASH3;POSI3;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GETT11;GETT11;GETT11;POSI3;;;;POSI3;;;
